N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
22692,49,1,64,1,42,256,FP32,0.08558869361877441,499.922119140625
22692,49,1,64,1,42,256,FP32,0.08274102210998535,499.922119140625
22692,49,1,64,1,42,256,FP32,0.07754206657409668,499.922119140625
22692,49,1,64,1,42,256,FP32,0.0777897834777832,499.922119140625
22692,49,1,64,1,42,256,FP32,0.0711069107055664,499.922119140625
22692,49,1,64,1,42,256,FP64,0.11712288856506348,495.78836394815
22692,49,1,64,1,42,256,FP64,0.12157964706420898,495.68989656847566
22692,49,1,64,1,42,256,FP64,0.13258028030395508,495.5876553426083
22692,49,1,64,1,42,256,FP64,0.13841795921325684,495.5289802530522
22692,49,1,64,1,42,256,FP64,0.1612546443939209,495.3691727412823
22692,49,1,64,2,42,256,FP32,0.1449263095855713,433.3865051269531
22692,49,1,64,2,42,256,FP32,0.1491398811340332,433.3865051269531
22692,49,1,64,2,42,256,FP32,0.12981748580932617,433.3865051269531
22692,49,1,64,2,42,256,FP32,0.12597990036010742,433.3865051269531
22692,49,1,64,2,42,256,FP32,0.1299724578857422,433.3865051269531
22692,49,1,64,2,42,256,FP64,0.2493443489074707,429.9347367852139
22692,49,1,64,2,42,256,FP64,0.23752570152282715,429.53982084771945
22692,49,1,64,2,42,256,FP64,0.20629620552062988,430.1592945189307
22692,49,1,64,2,42,256,FP64,0.20469212532043457,428.8749208159019
22692,49,1,64,2,42,256,FP64,0.22887349128723145,429.2379092913836
22692,49,1,64,4,42,256,FP32,0.28804993629455566,407.96893310546875
22692,49,1,64,4,42,256,FP32,0.2548351287841797,407.96893310546875
22692,49,1,64,4,42,256,FP32,0.24850893020629883,407.96893310546875
22692,49,1,64,4,42,256,FP32,0.26480984687805176,407.96893310546875
22692,49,1,64,4,42,256,FP32,0.30405712127685547,407.96893310546875
22692,49,1,64,4,42,256,FP64,0.4815349578857422,406.72265207194283
22692,49,1,64,4,42,256,FP64,0.5345184803009033,406.53555124298765
22692,49,1,64,4,42,256,FP64,0.5280375480651855,407.1488153797888
22692,49,1,64,4,42,256,FP64,0.5471043586730957,406.6628891763954
22692,49,1,64,4,42,256,FP64,0.5667111873626709,406.42189330881143
22692,49,1,128,1,42,256,FP32,0.10038638114929199,498.00152587890625
22692,49,1,128,1,42,256,FP32,0.0955970287322998,498.00152587890625
22692,49,1,128,1,42,256,FP32,0.0927286148071289,498.00152587890625
22692,49,1,128,1,42,256,FP32,0.09234189987182617,498.00152587890625
22692,49,1,128,1,42,256,FP32,0.10510969161987305,498.00152587890625
22692,49,1,128,1,42,256,FP64,0.14876985549926758,494.2314720153142
22692,49,1,128,1,42,256,FP64,0.14643120765686035,494.17263024190896
22692,49,1,128,1,42,256,FP64,0.14731812477111816,494.06286893810795
22692,49,1,128,1,42,256,FP64,0.14927101135253906,494.0024013052179
22692,49,1,128,1,42,256,FP64,0.16821813583374023,493.8787484804047
22692,49,1,128,2,42,256,FP32,0.17493486404418945,432.298828125
22692,49,1,128,2,42,256,FP32,0.17150521278381348,432.298828125
22692,49,1,128,2,42,256,FP32,0.17141175270080566,432.298828125
22692,49,1,128,2,42,256,FP32,0.16919994354248047,432.298828125
22692,49,1,128,2,42,256,FP32,0.20188689231872559,432.298828125
22692,49,1,128,2,42,256,FP64,0.2732229232788086,429.63960929893864
22692,49,1,128,2,42,256,FP64,0.28822779655456543,429.2942970747029
22692,49,1,128,2,42,256,FP64,0.27669787406921387,429.1579618026422
22692,49,1,128,2,42,256,FP64,0.30612635612487793,429.29141893795196
22692,49,1,128,2,42,256,FP64,0.29062366485595703,428.68853555805174
22692,49,1,128,4,42,256,FP32,0.34288477897644043,407.26446533203125
22692,49,1,128,4,42,256,FP32,0.34130048751831055,407.26446533203125
22692,49,1,128,4,42,256,FP32,0.3344447612762451,407.26446533203125
22692,49,1,128,4,42,256,FP32,0.3359079360961914,407.26446533203125
22692,49,1,128,4,42,256,FP32,0.34172534942626953,407.26446533203125
22692,49,1,128,4,42,256,FP64,0.5242729187011719,405.46242118162365
22692,49,1,128,4,42,256,FP64,0.5377683639526367,405.7579732170003
22692,49,1,128,4,42,256,FP64,0.5380046367645264,405.73687059631675
22692,49,1,128,4,42,256,FP64,0.5272190570831299,405.3829903561003
22692,49,1,128,4,42,256,FP64,0.5221469402313232,405.87521493231213
22692,49,1,256,1,42,256,FP32,0.0914156436920166,495.7034606933594
22692,49,1,256,1,42,256,FP32,0.09224605560302734,495.7034606933594
22692,49,1,256,1,42,256,FP32,0.09638738632202148,495.7034606933594
22692,49,1,256,1,42,256,FP32,0.09093451499938965,495.7034606933594
22692,49,1,256,1,42,256,FP32,0.09457945823669434,495.7034606933594
22692,49,1,256,1,42,256,FP64,0.14724397659301758,492.9545476382182
22692,49,1,256,1,42,256,FP64,0.14709186553955078,492.92130524329957
22692,49,1,256,1,42,256,FP64,0.14640426635742188,492.8409296624509
22692,49,1,256,1,42,256,FP64,0.14809346199035645,492.82093365483746
22692,49,1,256,1,42,256,FP64,0.15427017211914062,492.7312476576667
22692,49,1,256,2,42,256,FP32,0.18611574172973633,431.29071044921875
22692,49,1,256,2,42,256,FP32,0.17360854148864746,431.29071044921875
22692,49,1,256,2,42,256,FP32,0.1770787239074707,431.29071044921875
22692,49,1,256,2,42,256,FP32,0.17924237251281738,431.29071044921875
22692,49,1,256,2,42,256,FP32,0.18700885772705078,431.29071044921875
22692,49,1,256,2,42,256,FP64,0.28490710258483887,428.5634145872482
22692,49,1,256,2,42,256,FP64,0.27431416511535645,428.84546048622525
22692,49,1,256,2,42,256,FP64,0.28851914405822754,428.7035508895592
22692,49,1,256,2,42,256,FP64,0.2757568359375,427.6981111568455
22692,49,1,256,2,42,256,FP64,0.275296688079834,428.4231649807531
22692,49,1,256,4,42,256,FP32,0.3345649242401123,406.1945495605469
22692,49,1,256,4,42,256,FP32,0.3486621379852295,406.1945495605469
22692,49,1,256,4,42,256,FP32,0.3403346538543701,406.1945495605469
22692,49,1,256,4,42,256,FP32,0.3455159664154053,406.1945495605469
22692,49,1,256,4,42,256,FP32,0.3502197265625,406.1945495605469
22692,49,1,256,4,42,256,FP64,0.5263402462005615,405.2099042181359
22692,49,1,256,4,42,256,FP64,0.5374362468719482,404.9966932863831
22692,49,1,256,4,42,256,FP64,0.5462768077850342,404.8157680901385
22692,49,1,256,4,42,256,FP64,0.5494670867919922,404.54342458994216
22692,49,1,256,4,42,256,FP64,0.5527887344360352,404.6422086022916
22692,49,1,512,1,42,256,FP32,0.09345436096191406,494.1243591308594
22692,49,1,512,1,42,256,FP32,0.0882575511932373,494.1243591308594
22692,49,1,512,1,42,256,FP32,0.09511828422546387,494.1243591308594
22692,49,1,512,1,42,256,FP32,0.09092116355895996,494.1243591308594
22692,49,1,512,1,42,256,FP32,0.08961629867553711,494.1243591308594
22692,49,1,512,1,42,256,FP64,0.14626717567443848,491.6805669815158
22692,49,1,512,1,42,256,FP64,0.1462712287902832,491.6161350091854
22692,49,1,512,1,42,256,FP64,0.14666318893432617,491.5030820920287
22692,49,1,512,1,42,256,FP64,0.14815640449523926,491.34586738251903
22692,49,1,512,1,42,256,FP64,0.14803028106689453,491.142054385203
22692,49,1,512,2,42,256,FP32,0.18340635299682617,430.0909118652344
22692,49,1,512,2,42,256,FP32,0.18277335166931152,430.0909118652344
22692,49,1,512,2,42,256,FP32,0.1735515594482422,430.0909118652344
22692,49,1,512,2,42,256,FP32,0.17213225364685059,430.0909118652344
22692,49,1,512,2,42,256,FP32,0.1947934627532959,430.0909118652344
22692,49,1,512,2,42,256,FP64,0.2738029956817627,427.5119104513165
22692,49,1,512,2,42,256,FP64,0.2543191909790039,427.3665545983368
22692,49,1,512,2,42,256,FP64,0.24324274063110352,426.7273333125936
22692,49,1,512,2,42,256,FP64,0.2604188919067383,427.02708849975807
22692,49,1,512,2,42,256,FP64,0.3046238422393799,427.0579790945336
22692,49,1,512,4,42,256,FP32,0.33876681327819824,405.2305603027344
22692,49,1,512,4,42,256,FP32,0.34154319763183594,405.2305603027344
22692,49,1,512,4,42,256,FP32,0.3364694118499756,405.2305603027344
22692,49,1,512,4,42,256,FP32,0.3507521152496338,405.2305603027344
22692,49,1,512,4,42,256,FP32,0.3372056484222412,405.2305603027344
22692,49,1,512,4,42,256,FP64,0.5481235980987549,403.92420386634586
22692,49,1,512,4,42,256,FP64,0.5304865837097168,403.60660020690017
22692,49,1,512,4,42,256,FP64,0.5355074405670166,404.21726314263685
22692,49,1,512,4,42,256,FP64,0.5689826011657715,403.96742126956497
22692,49,1,512,4,42,256,FP64,0.5284140110015869,404.4842168145026
22692,49,2,64,1,42,256,FP32,0.12549734115600586,473.7113037109375
22692,49,2,64,1,42,256,FP32,0.12707853317260742,473.7113037109375
22692,49,2,64,1,42,256,FP32,0.12698698043823242,473.7113037109375
22692,49,2,64,1,42,256,FP32,0.12540340423583984,473.7113037109375
22692,49,2,64,1,42,256,FP32,0.12520289421081543,473.7113037109375
22692,49,2,64,1,42,256,FP64,0.1850416660308838,473.80349615611505
22692,49,2,64,1,42,256,FP64,0.1940929889678955,473.80349615611505
22692,49,2,64,1,42,256,FP64,0.18639636039733887,473.80349615611505
22692,49,2,64,1,42,256,FP64,0.1937096118927002,473.80349615611505
22692,49,2,64,1,42,256,FP64,0.18520665168762207,473.80349615611505
22692,49,2,64,2,42,256,FP32,0.24518394470214844,371.2360534667969
22692,49,2,64,2,42,256,FP32,0.2703838348388672,371.2360534667969
22692,49,2,64,2,42,256,FP32,0.29082298278808594,371.2360534667969
22692,49,2,64,2,42,256,FP32,0.24493408203125,371.2360534667969
22692,49,2,64,2,42,256,FP32,0.24737071990966797,371.2360534667969
22692,49,2,64,2,42,256,FP64,0.37152600288391113,372.51049424591935
22692,49,2,64,2,42,256,FP64,0.37435293197631836,372.51049424591935
22692,49,2,64,2,42,256,FP64,0.36833930015563965,372.51049424591935
22692,49,2,64,2,42,256,FP64,0.36762166023254395,372.51049424591935
22692,49,2,64,2,42,256,FP64,0.3855323791503906,372.51049424591935
22692,49,2,64,4,42,256,FP32,0.49471020698547363,342.0848388671875
22692,49,2,64,4,42,256,FP32,0.4702322483062744,342.0848388671875
22692,49,2,64,4,42,256,FP32,0.5008440017700195,342.0848388671875
22692,49,2,64,4,42,256,FP32,0.49034547805786133,342.0848388671875
22692,49,2,64,4,42,256,FP32,0.4900333881378174,342.0848388671875
22692,49,2,64,4,42,256,FP64,0.7324590682983398,342.64087753388867
22692,49,2,64,4,42,256,FP64,0.8612053394317627,342.64087753388867
22692,49,2,64,4,42,256,FP64,0.7969281673431396,342.64087753388867
22692,49,2,64,4,42,256,FP64,0.7450451850891113,342.64087753388867
22692,49,2,64,4,42,256,FP64,0.7385513782501221,342.64087753388867
22692,49,2,128,1,42,256,FP32,0.12671875953674316,473.7113037109375
22692,49,2,128,1,42,256,FP32,0.1265397071838379,473.7113037109375
22692,49,2,128,1,42,256,FP32,0.12859749794006348,473.7113037109375
22692,49,2,128,1,42,256,FP32,0.12305068969726562,473.7113037109375
22692,49,2,128,1,42,256,FP32,0.12479591369628906,473.7113037109375
22692,49,2,128,1,42,256,FP64,0.18374347686767578,473.80349615611505
22692,49,2,128,1,42,256,FP64,0.19428610801696777,473.80349615611505
22692,49,2,128,1,42,256,FP64,0.18845391273498535,473.80349615611505
22692,49,2,128,1,42,256,FP64,0.18682622909545898,473.80349615611505
22692,49,2,128,1,42,256,FP64,0.18383097648620605,473.80349615611505
22692,49,2,128,2,42,256,FP32,0.24497699737548828,371.2360534667969
22692,49,2,128,2,42,256,FP32,0.24490141868591309,371.2360534667969
22692,49,2,128,2,42,256,FP32,0.25052857398986816,371.2360534667969
22692,49,2,128,2,42,256,FP32,0.24868535995483398,371.2360534667969
22692,49,2,128,2,42,256,FP32,0.2462759017944336,371.2360534667969
22692,49,2,128,2,42,256,FP64,0.3729708194732666,372.51049424591935
22692,49,2,128,2,42,256,FP64,0.38030481338500977,372.51049424591935
22692,49,2,128,2,42,256,FP64,0.3650166988372803,372.51049424591935
22692,49,2,128,2,42,256,FP64,0.3685894012451172,372.51049424591935
22692,49,2,128,2,42,256,FP64,0.3811924457550049,372.51049424591935
22692,49,2,128,4,42,256,FP32,0.5102581977844238,342.0848388671875
22692,49,2,128,4,42,256,FP32,0.4980051517486572,342.0848388671875
22692,49,2,128,4,42,256,FP32,0.48636627197265625,342.0848388671875
22692,49,2,128,4,42,256,FP32,0.5049953460693359,342.0848388671875
22692,49,2,128,4,42,256,FP32,0.49707818031311035,342.0848388671875
22692,49,2,128,4,42,256,FP64,0.7655940055847168,342.64087753388867
22692,49,2,128,4,42,256,FP64,0.7778284549713135,342.64087753388867
22692,49,2,128,4,42,256,FP64,0.748528003692627,342.64087753388867
22692,49,2,128,4,42,256,FP64,0.7374494075775146,342.64087753388867
22692,49,2,128,4,42,256,FP64,0.7424561977386475,342.64087753388867
22692,49,2,256,1,42,256,FP32,0.1289360523223877,473.7113037109375
22692,49,2,256,1,42,256,FP32,0.1258842945098877,473.7113037109375
22692,49,2,256,1,42,256,FP32,0.14478802680969238,473.7113037109375
22692,49,2,256,1,42,256,FP32,0.1376333236694336,473.7113037109375
22692,49,2,256,1,42,256,FP32,0.12274909019470215,473.7113037109375
22692,49,2,256,1,42,256,FP64,0.18315458297729492,473.80349615611505
22692,49,2,256,1,42,256,FP64,0.20183610916137695,473.80349615611505
22692,49,2,256,1,42,256,FP64,0.19145989418029785,473.80349615611505
22692,49,2,256,1,42,256,FP64,0.19876623153686523,473.80349615611505
22692,49,2,256,1,42,256,FP64,0.18921184539794922,473.80349615611505
22692,49,2,256,2,42,256,FP32,0.24796676635742188,371.2360534667969
22692,49,2,256,2,42,256,FP32,0.255267858505249,371.2360534667969
22692,49,2,256,2,42,256,FP32,0.2439262866973877,371.2360534667969
22692,49,2,256,2,42,256,FP32,0.24923324584960938,371.2360534667969
22692,49,2,256,2,42,256,FP32,0.24259209632873535,371.2360534667969
22692,49,2,256,2,42,256,FP64,0.37069106101989746,372.51049424591935
22692,49,2,256,2,42,256,FP64,0.373305082321167,372.51049424591935
22692,49,2,256,2,42,256,FP64,0.3663792610168457,372.51049424591935
22692,49,2,256,2,42,256,FP64,0.3715088367462158,372.51049424591935
22692,49,2,256,2,42,256,FP64,0.36577272415161133,372.51049424591935
22692,49,2,256,4,42,256,FP32,0.5208480358123779,342.0848388671875
22692,49,2,256,4,42,256,FP32,0.4943888187408447,342.0848388671875
22692,49,2,256,4,42,256,FP32,0.49794578552246094,342.0848388671875
22692,49,2,256,4,42,256,FP32,0.4854905605316162,342.0848388671875
22692,49,2,256,4,42,256,FP32,0.4849834442138672,342.0848388671875
