N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
23312,25,1,64,1,42,256,FP32,0.07480382919311523,313.3583068847656
23312,25,1,64,1,42,256,FP32,0.06851053237915039,313.3583068847656
23312,25,1,64,1,42,256,FP32,0.06128263473510742,313.3583068847656
23312,25,1,64,1,42,256,FP32,0.05981898307800293,313.3583068847656
23312,25,1,64,1,42,256,FP32,0.056589365005493164,313.3583068847656
23312,25,1,64,1,42,256,FP64,0.08290719985961914,318.596637944053
23312,25,1,64,1,42,256,FP64,0.09267807006835938,318.5968557794985
23312,25,1,64,1,42,256,FP64,0.09526610374450684,318.59020060038114
23312,25,1,64,1,42,256,FP64,0.09256601333618164,318.5899211393639
23312,25,1,64,1,42,256,FP64,0.09432649612426758,318.59018804398784
23312,25,1,64,2,42,256,FP32,0.11912107467651367,270.65869140625
23312,25,1,64,2,42,256,FP32,0.11650896072387695,270.65869140625
23312,25,1,64,2,42,256,FP32,0.11715006828308105,270.65869140625
23312,25,1,64,2,42,256,FP32,0.1349806785583496,270.65869140625
23312,25,1,64,2,42,256,FP32,0.13577508926391602,270.65869140625
23312,25,1,64,2,42,256,FP64,0.16073155403137207,271.91708834730713
23312,25,1,64,2,42,256,FP64,0.1611926555633545,271.78620396451885
23312,25,1,64,2,42,256,FP64,0.20916080474853516,271.93861610688765
23312,25,1,64,2,42,256,FP64,0.21567130088806152,271.94851700439483
23312,25,1,64,2,42,256,FP64,0.2294168472290039,271.7526515912495
23312,25,1,64,4,42,256,FP32,0.29098033905029297,252.3998260498047
23312,25,1,64,4,42,256,FP32,0.2740199565887451,252.3998260498047
23312,25,1,64,4,42,256,FP32,0.2813093662261963,252.3998260498047
23312,25,1,64,4,42,256,FP32,0.274874210357666,252.3998260498047
23312,25,1,64,4,42,256,FP32,0.2787492275238037,252.3998260498047
23312,25,1,64,4,42,256,FP64,0.42414402961730957,251.60673948309642
23312,25,1,64,4,42,256,FP64,0.41318535804748535,252.09192243510844
23312,25,1,64,4,42,256,FP64,0.42337536811828613,251.63656081847674
23312,25,1,64,4,42,256,FP64,0.4161984920501709,251.74286012670694
23312,25,1,64,4,42,256,FP64,0.41443395614624023,251.86137912153728
23312,25,1,128,1,42,256,FP32,0.06999611854553223,313.3004150390625
23312,25,1,128,1,42,256,FP32,0.06986498832702637,313.3004150390625
23312,25,1,128,1,42,256,FP32,0.07065081596374512,313.3004150390625
23312,25,1,128,1,42,256,FP32,0.07485580444335938,313.3004150390625
23312,25,1,128,1,42,256,FP32,0.07019352912902832,313.3004150390625
23312,25,1,128,1,42,256,FP64,0.10590100288391113,318.5553732360236
23312,25,1,128,1,42,256,FP64,0.10661673545837402,318.5513650515786
23312,25,1,128,1,42,256,FP64,0.10584330558776855,318.54628824626366
23312,25,1,128,1,42,256,FP64,0.11307120323181152,318.54910356232097
23312,25,1,128,1,42,256,FP64,0.10808920860290527,318.5445615794567
23312,25,1,128,2,42,256,FP32,0.15175485610961914,270.62091064453125
23312,25,1,128,2,42,256,FP32,0.1381063461303711,270.62091064453125
23312,25,1,128,2,42,256,FP32,0.14948678016662598,270.62091064453125
23312,25,1,128,2,42,256,FP32,0.13733434677124023,270.62091064453125
23312,25,1,128,2,42,256,FP32,0.14180326461791992,270.62091064453125
23312,25,1,128,2,42,256,FP64,0.2113027572631836,271.32831965417193
23312,25,1,128,2,42,256,FP64,0.21044397354125977,272.1570741974568
23312,25,1,128,2,42,256,FP64,0.20908474922180176,271.79496094123624
23312,25,1,128,2,42,256,FP64,0.20905280113220215,271.9140170337554
23312,25,1,128,2,42,256,FP64,0.21045923233032227,271.5569132480347
23312,25,1,128,4,42,256,FP32,0.2753121852874756,252.29640197753906
23312,25,1,128,4,42,256,FP32,0.2775890827178955,252.29640197753906
