threads,runtime,loss,throughput
1,1.6494,6.677,242512.42876197406
2,1.8436,10.0988,216966.80407897593
4,2.1767,14.8008,183764.4140212248
8,2.8101,21.4826,142343.6888366962
16,4.2737,30.755,93595.71331633012
32,7.2029,43.7085,55533.18802149135
64,33.6468,61.9939,11888.203335829856
128,68.7177,87.8402,5820.9165906309445
