threads,runtime,loss,throughput
1,0.3431,7.1111,1165840.8627222383
2,0.3761,10.5183,1063546.9290082424
4,0.4447,15.3654,899482.7973915
8,0.5896,22.1543,678426.0515603799
16,0.9115,31.4756,438837.08173340646
32,1.6574,44.7411,241341.86074574635
64,6.2886,63.3,63607.162166459944
128,13.0999,89.6082,30534.58423346743
